0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
1561;-44.75;5.75;16;42;48;128;7;16;19;14;8;8;21;17;12;11;10;6;10;13;18;6;7;17;9;1;0;20;17;40;0;5;6;1;4;5;22;29
1562;-44.25;5.75;63;27;56;168;3;15;26;20;7;24;10;15;10;8;14;8;12;7;16;13;19;10;8;1;2;20;43;42;1;3;5;7;19;4;34;42
1563;-43.75;5.75;27;27;52;95;8;17;16;3;4;74;7;15;9;16;17;4;12;14;22;7;44;25;6;1;1;16;33;25;2;4;3;4;6;20;129;32
1564;-43.25;5.75;14;31;62;100;5;18;26;0;7;83;14;10;13;12;40;20;9;14;17;13;38;17;5;2;1;23;17;43;2;1;5;10;5;23;69;18
1565;-42.75;5.75;21;51;81;123;8;18;21;11;14;10;6;15;13;4;11;23;6;21;10;5;66;17;3;0;2;54;6;41;0;4;7;2;5;14;34;42
1566;-42.25;5.75;36;19;23;281;6;15;25;5;9;2;7;12;7;9;7;24;9;6;9;6;32;29;3;6;3;22;8;41;3;4;1;2;3;11;61;55
1567;-41.75;5.75;18;33;21;97;15;12;14;8;1;4;7;16;8;4;11;23;5;11;13;6;16;5;6;3;3;23;11;55;2;5;4;9;16;2;158;44
1568;-41.25;5.75;13;19;44;62;18;10;15;5;5;11;7;15;7;8;16;22;10;8;9;7;21;11;9;1;3;30;16;20;1;3;2;10;2;2;23;31
1569;-40.75;5.75;11;26;78;114;13;12;17;2;2;5;4;10;8;8;9;27;13;8;13;3;6;17;4;3;1;32;10;27;0;2;7;5;5;1;29;16
1570;-40.25;5.75;15;21;30;140;24;13;19;16;5;11;13;11;17;3;16;35;12;12;9;0;8;4;5;2;5;43;23;51;0;1;8;5;4;2;23;12
1571;-39.75;5.75;12;29;14;127;25;8;18;6;3;13;0;7;22;5;9;17;19;11;8;5;12;6;2;7;1;37;13;148;2;7;3;10;6;6;23;13
1572;-39.25;5.75;12;21;7;85;5;18;19;4;10;6;24;16;27;4;19;11;20;16;11;7;9;13;2;8;2;38;11;67;4;5;3;3;6;25;32;5
1573;-38.75;5.75;10;23;20;136;4;12;29;8;13;7;21;11;12;9;9;12;23;19;10;3;6;40;6;5;3;32;9;51;4;4;8;1;5;27;62;5
1625;-62.25;5.25;138;1341;1108;267;52;565;363;907;562;785;1506;2089;25;1488;786;18;173;77;252;281;554;451;1603;801;2;697;869;200;13;300;646;1075;564;589;1361;599
1626;-61.75;5.25;68;1492;1224;150;23;662;243;619;228;253;995;1773;35;1063;862;12;104;63;104;142;526;326;818;608;4;691;915;93;5;553;530;624;389;547;975;696
1627;-61.25;5.25;29;882;697;40;19;112;93;741;157;204;713;1199;15;718;791;4;43;26;34;108;428;156;625;495;2;442;965;10;5;95;151;294;197;487;1031;587
1628;-60.75;5.25;17;519;319;23;6;27;24;271;97;222;745;765;7;762;580;1;14;9;31;30;544;111;945;593;2;291;690;10;2;10;43;225;192;458;1112;369
1629;-60.25;5.25;12;332;156;27;11;25;26;173;74;376;544;259;7;160;235;9;4;6;22;28;215;101;689;368;2;162;432;5;0;9;36;205;97;283;500;482
1630;-59.75;5.25;4;262;325;58;13;27;60;121;192;471;802;231;16;44;81;3;5;11;15;57;393;276;906;375;0;67;306;11;5;10;99;287;147;650;396;386
